moy,dom,hod,Toutdoor,Qheat_profile,Q_dhw_profile,Q_house_profile
1.0,1.0,1.0,1.5,2.136273483277289,0.0,2.136273483277289
1.0,1.0,2.0,1.7,2.1020931075448526,0.0,2.1020931075448526
1.0,1.0,3.0,1.5,2.136273483277289,0.0,2.136273483277289
1.0,1.0,4.0,1.2,2.187544046875944,0.0,2.187544046875944
1.0,1.0,5.0,1.1,2.204634234742162,0.0,2.204634234742162
1.0,1.0,6.0,1.1,2.204634234742162,0.0,2.204634234742162
1.0,1.0,7.0,1.3,2.1704538590097253,0.0,2.1704538590097253
1.0,1.0,8.0,1.5,2.136273483277289,1.6099999999999999,3.746273483277289
1.0,1.0,9.0,1.8,2.085002919678634,0.42,2.505002919678634
1.0,1.0,10.0,2.2,2.0166421682137607,0.21,2.2266421682137607
1.0,1.0,11.0,2.6,1.9482814167488876,0.105,2.0532814167488875
1.0,1.0,12.0,3.4,1.811559913819141,0.21,2.021559913819141
1.0,1.0,13.0,4.0,1.7090187866218312,0.315,2.024018786621831
1.0,1.0,14.0,4.4,1.640658035156958,0.0,1.640658035156958
1.0,1.0,15.0,4.4,1.640658035156958,0.105,1.745658035156958
1.0,1.0,16.0,4.5,1.6235678472907396,0.105,1.7285678472907395
1.0,1.0,17.0,4.6,1.6064776594245214,0.105,1.7114776594245213
1.0,1.0,18.0,4.8,1.5722972836920845,0.0,1.5722972836920845
1.0,1.0,19.0,5.0,1.5381169079596482,0.315,1.8531169079596481
1.0,1.0,20.0,5.2,1.5039365322272116,0.105,1.6089365322272116
1.0,1.0,21.0,5.8,1.4013954050299016,0.735,2.1363954050299014
1.0,1.0,22.0,6.1,1.3501248414312468,1.505,2.8551248414312465
1.0,1.0,23.0,6.1,1.3501248414312468,0.0,1.3501248414312468
1.0,1.0,24.0,6.2,1.3330346535650284,0.0,1.3330346535650284
1.0,2.0,1.0,6.1,1.3501248414312468,0.0,1.3501248414312468
1.0,2.0,2.0,6.1,1.3501248414312468,0.0,1.3501248414312468
1.0,2.0,3.0,5.8,1.4013954050299016,0.0,1.4013954050299016
1.0,2.0,4.0,6.6,1.2646739021001552,0.0,1.2646739021001552
1.0,2.0,5.0,6.8,1.2304935263677186,0.0,1.2304935263677186
1.0,2.0,6.0,7.4,1.1279523991704086,0.0,1.1279523991704086
1.0,2.0,7.0,7.2,1.1621327749028452,0.0,1.1621327749028452
1.0,2.0,8.0,6.7,1.2475837142339368,1.6099999999999999,2.857583714233937
1.0,2.0,9.0,7.5,1.1108622113041904,0.42,1.5308622113041903
1.0,2.0,10.0,8.7,0.9057799569095707,0.21,1.1157799569095708
1.0,2.0,11.0,9.9,0.7006977025149508,0.105,0.8056977025149508
1.0,2.0,12.0,9.9,0.7006977025149508,0.21,0.9106977025149507
1.0,2.0,13.0,10.6,0.5810663874514227,0.315,0.8960663874514228
1.0,2.0,14.0,10.6,0.5810663874514227,0.0,0.5810663874514227
1.0,2.0,15.0,10.3,0.6323369510500775,0.105,0.7373369510500775
1.0,2.0,16.0,10.2,0.649427138916296,0.105,0.754427138916296
1.0,2.0,17.0,9.8,0.717787890381169,0.105,0.822787890381169
1.0,2.0,18.0,9.8,0.717787890381169,0.0,0.717787890381169
1.0,2.0,19.0,9.5,0.7690584539798241,0.315,1.0840584539798241
1.0,2.0,20.0,9.6,0.7519682661136058,0.105,0.8569682661136058
1.0,2.0,21.0,9.8,0.717787890381169,0.735,1.452787890381169
1.0,2.0,22.0,10.0,0.6836075146487325,1.505,2.1886075146487323
